"Affiliate Banners","Συνεργάτες"
"Allow Affiliate receiving commission when Invoice created","Να επιτρέπεται στον συνεργαζόμενο να λαμβάνει προμήθεια όταν δημιουργείται το τιμολόγιο"
"Hold commission transactions for","Κρατήστε τις συναλλαγές προμήθειας για"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Μείωση προμήθειας από το υπόλοιπο της θυγατρικής όταν επιστραφεί / ακυρωθεί η παραγγελία"
"Withdraw Configuration","Αποσύρετε τη διαμόρφωση"
"Allow withdraw request","Να επιτρέπεται η απόσυρση αίτησης"
"Payment Methods","μέθοδοι πληρωμής"
"The minimum balance in affiliate account for requesting withdraw","Το ελάχιστο υπόλοιπο στο λογαριασμό θυγατρικών για αίτημα ανάληψης"
"Minimum withdraw amount","Ελάχιστο ποσό απόσυρσης"
"Include Fee","Συμπεριλάβετε το Τέλος"
"Maximum withdraw amount","Μέγιστο ποσό απόσυρσης"
"Email Configuration","Διαμόρφωση ηλεκτρονικού ταχυδρομείου"
"Email Sender","Αποστολέας ηλεκτρονικού ταχυδρομείου"
"Account Email","Email λογαριασμού"
"Send Welcome Email","Αποστολή καλωσορίσματος e-mail"
"Welcome Email","Καλώς ήλθατε"
"Welcome Email After Account Approved","Καλώς ήλθατε μετά την έγκριση του λογαριασμού"
"This email will be sent instead of welcome email, after approving account.","Αυτό το μήνυμα ηλεκτρονικού ταχυδρομείου θα αποστέλλεται αντί για μήνυμα ηλεκτρονικού ταχυδρομείου καλωσορίσματος, αφού εγκρίνει λογαριασμό."
"Transaction Email","Ηλεκτρονικό ταχυδρομείο συναλλαγής"
"Send Transaction Email","Αποστολή ηλεκτρονικού ταχυδρομείου συναλλαγής"
"Update Balance Email","Ενημέρωση λογαριασμού ηλεκτρονικού ταχυδρομείου"
"Withdraw Email","Ανάληψη μηνύματος ηλεκτρονικού ταχυδρομείου"
"Send Withdraw Email","Αποστολή αποστέλλει το μήνυμα ηλεκτρονικού ταχυδρομείου"
"Withdraw Complete Email","Αποσύρετε το πλήρες μήνυμα ηλεκτρονικού ταχυδρομείου"
"Refer Friends Configuration","Ανατρέξτε στη Ρύθμιση φίλων"
"Enable Refer Friends Feature","Ενεργοποιήστε τη δυνατότητα ""Προσ. Φίλων"""
"Refer Sharing Email","Ανατρέξτε στην ενότητα Κοινή χρήση ηλεκτρονικού ταχυδρομείου"
"Default Refer Url","Προεπιλεγμένη διεύθυνση URL αναφοράς"
"Select block to show referfriend description","Επιλέξτε μπλοκ για να εμφανίσετε την περιγραφή αναφοράς"
"Refer friend homepage content","Αναφορά περιεχομένου αρχικής σελίδας φίλων"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","Χρησιμοποιήστε το Cloudsponge για να ανακτήσετε επαφές ηλεκτρονικού ταχυδρομείου"
"Cloudsponge Key","Cloudsponge Key"
"Sending Email Content","Αποστολή περιεχομένου ηλεκτρονικού ταχυδρομείου"
"Default Email Subject","Προεπιλεγμένο θέμα ηλεκτρονικού ταχυδρομείου"
"Default Email Body","Προκαθορισμένο σώμα ηλεκτρονικού ταχυδρομείου"
"Default Message Shared via Social","Το προεπιλεγμένο μήνυμα μοιράστηκε μέσω κοινωνικής δικτύωσης"
"ID","ταυτότητα"
"Email","ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ"
"Phone","Τηλέφωνο"
"ZIP/Post Code","ZIP / ταχυδρομικός κώδικας"
"Country","Χώρα"
"State/Province","Κράτος / Επαρχία"
"Signed-up Point","Υπογεγραμμένο σημείο"
"Website","Δικτυακός τόπος"
"Created At","Δημιουργήθηκε στο"
"Add New Account","Προσθήκη νέου λογαριασμού"
"Delete Accounts","Διαγραφή λογαριασμών"
"Are you sure you want to delete selected Accounts?","Είστε βέβαιοι ότι θέλετε να διαγράψετε τους επιλεγμένους Λογαριασμούς;"
"Total Commission","Συνολική Επιτροπή"
"Add New Banner","Προσθέστε νέο banner"
"Delete Banners","Διαγραφή πανό"
"Are you sure you want to delete selected banners?","Είστε βέβαιοι ότι θέλετε να διαγράψετε επιλεγμένα banners;"
"URL","URL"
"Campaign","καμπάνια"
"Created","Δημιουργήθηκε"
"Add New Campaign","Προσθήκη νέας καμπάνιας"
"Delete Campaigns","Διαγραφή καμπανιών"
"Are you sure you wan't to delete selected Campaigns?","Είστε βέβαιοι ότι δεν θέλετε να διαγράψετε επιλεγμένες καμπάνιες;"
"Add New Group","Προσθήκη νέας ομάδας"
"Delete Groups","Διαγραφή ομάδων"
"Are you sure you want to delete selected groups?","Είστε βέβαιοι ότι θέλετε να διαγράψετε επιλεγμένες ομάδες;"
"Add New Transaction","Προσθήκη νέας συναλλαγής"
"Complete Transactions","Πλήρεις συναλλαγές"
"Are you sure you want to complete selected transactions?","Είστε βέβαιοι ότι θέλετε να ολοκληρώσετε τις επιλεγμένες συναλλαγές;"
"Cancel Transactions","Ακύρωση συναλλαγών"
"Are you sure you want to cancel selected Transactions?","Είστε βέβαιοι ότι θέλετε να ακυρώσετε τις επιλεγμένες Συναλλαγές;"
"Action Type","Τύπος ενέργειας"
"Amount Used","Ποσό που χρησιμοποιήθηκε"
"Amount Hold","Χρόνος αναμονής"
"Current Balance","Τωρινή ισσοροπία"
"Store","Κατάστημα"
"Holding Date","Ημερομηνία Κατοχής"
"Add New Withdraw","Προσθήκη νέας απόσυρσης"
"Approve","Εγκρίνω"
"Approve Withdraws","Εγκρίνει την απόσυρση"
"Are you sure you want to approve selected Withdraws?","Είστε βέβαιοι ότι θέλετε να εγκρίνετε επιλεγμένες αναλήψεις;"
"Cancel Withdraws","Ακύρωση Ανακαλεί"
"Are you sure you want to cancel selected Withdraws?","Είστε βέβαιοι ότι θέλετε να ακυρώσετε τις επιλεγμένες αναλήψεις;"
"Transaction ID","Ταυτότητα συναλλαγής"
"Transferred","Μεταφέρθηκε"
"Account Dashboard","Πίνακας ελέγχου λογαριασμού"
"Home","Σπίτι"
"Signup","Εγγραφείτε"
"Refer Friend","Αναφορά φίλου"
"Setting","Σύνθεση"
